DMA	Date	UTC	City	Region	RegionAbbr	Subregion	Longitude	Latitude	DMA_Search	EST	US_Search	Search
Buffalo NY	2023-02-17	2023-02-18 03:00:00	Buffalo	New York	NY	Erie County	-78.87845999999996	42.88544000000008	29	2023-02-17 22:00:00	76	2204
Sioux City IA	2023-02-17	2023-02-18 03:00:00	Sioux City	Iowa	IA	Woodbury County	-96.42085999999992	42.499900000000025	28	2023-02-17 22:00:00	76	2128
Marquette MI	2023-02-17	2023-02-18 03:00:00	Marquette	Michigan	MI	Marquette County	-87.41262999999998	46.545840000000055	26	2023-02-17 22:00:00	76	1976
Ft. Wayne IN	2023-02-17	2023-02-18 03:00:00	Fort Wayne	Indiana	IN	Allen County	-85.13830999999999	41.08026000000008	26	2023-02-17 22:00:00	76	1976
Johnstown-Altoona PA	2023-02-17	2023-02-18 03:00:00	Altoona	Pennsylvania	PA	Blair County	-78.32129695025407	40.52020954635128	34	2023-02-17 22:00:00	76	2584
Utica NY	2023-02-17	2023-02-18 03:00:00	Utica	New York	NY	Oneida County	-75.24257999999996	43.09589000000005	25	2023-02-17 22:00:00	76	1900
Little Rock-Pine Bluff AR	2023-02-16	2023-02-17 03:00:00	White Hall	Arkansas	AR	Jefferson County	-92.09252787844376	34.280418002916115	1	2023-02-16 22:00:00	100	100
Binghamton NY	2023-02-17	2023-02-18 03:00:00	Binghamton	New York	NY	Broome County	-75.91128999999995	42.09871000000004	25	2023-02-17 22:00:00	76	1900
Alexandria LA	2023-02-17	2023-02-18 03:00:00	Alexandria	Louisiana	LA	Rapides Parish	-92.44567999999998	31.312660000000047	24	2023-02-17 22:00:00	76	1824
Columbus OH	2023-02-17	2023-02-18 03:00:00	Columbus	Ohio	OH	Franklin County	-83.00274999999993	39.96199000000007	25	2023-02-17 22:00:00	76	1900
Cleveland-Akron (Canton) OH	2023-02-17	2023-02-18 03:00:00	Canton	Ohio	OH	Stark County	-81.38800503285043	40.77287999716256	25	2023-02-17 22:00:00	76	1900
Cincinnati OH	2023-02-17	2023-02-18 03:00:00	Cincinnati	Ohio	OH	Hamilton County	-84.51438999999993	39.12711000000007	23	2023-02-17 22:00:00	76	1748
Flint-Saginaw-Bay City MI	2023-02-17	2023-02-18 03:00:00	Bay City	Michigan	MI	Bay County	-83.88930356131523	43.59577191183817	24	2023-02-17 22:00:00	76	1824
Toledo OH	2023-02-17	2023-02-18 03:00:00	Toledo	Ohio	OH	Lucas County	-83.53673999999995	41.65404000000007	22	2023-02-17 22:00:00	76	1672
Portland-Auburn ME	2023-02-17	2023-02-18 03:00:00	Auburn	Maine	ME	Androscoggin County	-70.28306819934934	44.021514101683046	24	2023-02-17 22:00:00	76	1824
Detroit MI	2023-02-17	2023-02-18 03:00:00	Detroit	Michigan	MI	Wayne County	-83.04799999999993	42.33168000000006	21	2023-02-17 22:00:00	76	1596
Wichita Falls TX & Lawton OK	2023-02-17	2023-02-18 03:00:00	Lawton	Oklahoma	OK	Comanche County	-98.43374861680476	34.73082523544293	28	2023-02-17 22:00:00	76	2128
Traverse City-Cadillac MI	2023-02-17	2023-02-18 03:00:00	Traverse City	Michigan	MI	Grand Traverse County	-85.59611399999993	44.743381000000056	21	2023-02-17 22:00:00	76	1596
Louisville KY	2023-02-17	2023-02-18 03:00:00	Louisville	Kentucky	KY	Jefferson County	-85.76665999999993	38.254890000000046	21	2023-02-17 22:00:00	76	1596
Rochester NY	2023-02-17	2023-02-18 03:00:00	Rochester	New York	NY	Monroe County	-77.61631999999997	43.155800000000056	20	2023-02-17 22:00:00	76	1520
Watertown NY	2023-02-17	2023-02-18 03:00:00	Watertown	New York	NY	Jefferson County	-75.91427999999996	43.97586000000008	20	2023-02-17 22:00:00	76	1520
Providence RI-New Bedford MA	2023-02-17	2023-02-18 03:00:00	Acushnet	Massachusetts	MA	Bristol County	-70.90428498615711	41.667410010317056	23	2023-02-17 22:00:00	76	1748
Springfield MO	2023-02-17	2023-02-18 03:00:00	Springfield	Missouri	MO	Greene County	-93.29159	37.20897000000008	19	2023-02-17 22:00:00	76	1444
Charleston-Huntington WV	2023-02-17	2023-02-18 03:00:00	Huntington	West Virginia	WV	Cabell County	-82.41917368177556	38.41415102368572	19	2023-02-17 22:00:00	76	1444
Idaho Falls-Pocatello ID	2023-02-17	2023-02-18 03:00:00	Pocatello	Idaho	ID	Bannock County	-112.44707000002782	42.85455884157094	19	2023-02-17 22:00:00	76	1444
Biloxi-Gulfport MS	2023-02-17	2023-02-18 03:00:00	Gulfport	Mississippi	MS	Harrison County	-89.09188999999996	30.38032000000004	19	2023-02-17 22:00:00	76	1444
Jackson TN	2023-02-17	2023-02-18 03:00:00	Jackson	Tennessee	TN	Madison County	-88.81939999999997	35.61390000000006	18	2023-02-17 22:00:00	76	1368
Hartford & New Haven CT	2023-02-17	2023-02-18 03:00:00	Plainville	Connecticut	CT	Hartford County	-72.88918499503713	41.686260009504046	20	2023-02-17 22:00:00	76	1520
Ft. Smith-Fayetteville-Springdale-Rogers AR	2023-02-17	2023-02-18 03:00:00	Springdale	Arkansas	AR	Washington County	-94.1037260045514	36.17115248366951	18	2023-02-17 22:00:00	76	1368
Chattanooga TN	2023-02-17	2023-02-18 03:00:00	Chattanooga	Tennessee	TN	Hamilton County	-85.30946999999996	35.04672000000005	17	2023-02-17 22:00:00	76	1292
Harrisburg-Lancaster-Lebanon-York PA	2023-02-17	2023-02-18 03:00:00	Lancaster	Pennsylvania	PA	Lancaster County	-76.31562127523881	40.0488282379337	19	2023-02-17 22:00:00	76	1444
Jackson MS	2023-02-17	2023-02-18 03:00:00	Jackson	Mississippi	MS	Hinds County	-90.18043999999996	32.29896000000008	16	2023-02-17 22:00:00	76	1216
Indianapolis IN	2023-02-17	2023-02-18 03:00:00	Indianapolis	Indiana	IN	Marion County	-86.15011999999997	39.766910000000045	16	2023-02-17 22:00:00	76	1216
Medford-Klamath Falls OR	2023-02-17	2023-02-18 03:00:00	Klamath Falls	Oregon	OR	Klamath County	-121.78205999999994	42.22388000000007	19	2023-02-17 22:00:00	76	1444
Wilkes Barre-Scranton PA	2023-02-17	2023-02-18 03:00:00	Pittston	Pennsylvania	PA	Luzerne County	-75.72943999999995	41.33717000000007	17	2023-02-17 22:00:00	76	1292
Dayton OH	2023-02-17	2023-02-18 03:00:00	Dayton	Ohio	OH	Montgomery County	-84.19380999999998	39.75920000000008	15	2023-02-17 22:00:00	76	1140
Grand Rapids-Kalamazoo-Battle Creek MI	2023-02-17	2023-02-18 03:00:00	Battle Creek	Michigan	MI	Calhoun County	-85.18682211214454	42.32892060475615	15	2023-02-17 22:00:00	76	1140
