DMA	UTC	City	Region	RegionAbbr	Subregion	Longitude	Latitude	DMA_Search	EST	US_Search	Search
Hartford & New Haven CT	2023-02-11 05	Terre Haute	Indiana	IN	Vigo County	-87.41300999999999	39.46649000000008	18	2023-02-11 00:00:00	39	702
Tyler-Longview(Lufkin & Nacogdoches) TX	2023-02-11 05	Fairbanks	Alaska	AK	Fairbanks North Star Borough	-147.72209999999998	64.84525000000008	18	2023-02-11 00:00:00	39	702
Grand Junction-Montrose CO	2023-02-11 05	Olathe	Colorado	CO	Montrose	-107.977821651081	38.60269263319038	21	2023-02-11 00:00:00	39	819
Wilkes Barre-Scranton PA	2023-02-11 05	Pittston	Pennsylvania	PA	Luzerne County	-75.72943999999995	41.33717000000007	5	2023-02-11 00:00:00	39	195
Johnstown-Altoona PA	2023-02-11 05	Altoona	Pennsylvania	PA	Blair County	-78.32129695025407	40.52020954635128	15	2023-02-11 00:00:00	39	585
Topeka KS	2023-02-11 05	Topeka	Kansas	KS	Shawnee County	-95.67117999999992	39.04928000000008	10	2023-02-11 00:00:00	39	390
Cedar Rapids-Waterloo-Iowa City & Dubuque IA	2023-02-11 05	Waterloo	Iowa	IA	Black Hawk County	-92.33877829277164	42.495836568877465	5	2023-02-11 00:00:00	39	195
Abilene-Sweetwater TX	2023-02-11 05	Sweetwater	Texas	TX	Nolan County	-100.39898999999996	32.474590000000035	10	2023-02-11 00:00:00	39	390
Albany-Schenectady-Troy NY	2023-02-11 05	Schenectady	New York	NY	Schenectady County	-73.85410778560362	42.782520346101855	17	2023-02-11 00:00:00	39	663
Toledo OH	2023-02-11 05	Toledo	Ohio	OH	Lucas County	-83.53673999999995	41.65404000000007	9	2023-02-11 00:00:00	39	351
Columbia-Jefferson City MO	2023-02-11 05	Jefferson	Arkansas	AR	Columbia	-93.36837999999992	33.35105000000004	9	2023-02-11 00:00:00	39	351
Tulsa OK	2023-02-11 05	Tulsa	Oklahoma	OK	Tulsa County	-95.99352	36.15011000000004	7	2023-02-11 00:00:00	39	273
Lafayette LA	2023-02-11 05	Lafayette	Louisiana	LA	Lafayette Parish	-92.01704999999998	30.220320000000072	8	2023-02-11 00:00:00	39	312
Jacksonville FL	2023-02-11 05	Jacksonville	Florida	FL	Duval County	-81.65621999999996	30.331470000000024	7	2023-02-11 00:00:00	39	273
Lansing MI	2023-02-11 05	Lansing	Michigan	MI	Ingham County	-84.55224999999997	42.73194000000007	6	2023-02-11 00:00:00	39	234
Sioux Falls(Mitchell) SD	2023-02-11 05	Sioux Falls	South Dakota	SD	Minnehaha County	-96.73127999999996	43.54577000000006	8	2023-02-11 00:00:00	39	312
Springfield-Holyoke MA	2023-02-11 05	Holyoke	Massachusetts	MA	Hampden County	-72.60820699999994	42.206154000000026	11	2023-02-11 00:00:00	39	429
Yuma AZ-El Centro CA	2023-02-11 05	Yuma	Arizona	AZ	Yuma County	-114.52700001398428	32.700765006104845	6	2023-02-11 00:00:00	39	234
Biloxi-Gulfport MS	2023-02-11 05	Gulfport	Mississippi	MS	Harrison County	-89.09188999999996	30.38032000000004	15	2023-02-11 00:00:00	39	585
Mankato MN	2023-02-11 05	Mankato	Minnesota	MN	Blue Earth County	-94.00240999999994	44.16740000000004	36	2023-02-11 00:00:00	39	1404
Helena MT	2023-02-11 05	Helena	Montana	MT	Lewis and Clark County	-112.02064999999996	46.58976000000007	49	2023-02-11 00:00:00	39	1911
Syracuse NY	2023-02-11 05	Syracuse	New York	NY	Onondaga County	-76.14737999999994	43.05042000000003	4	2023-02-11 00:00:00	39	156
Charleston-Huntington WV	2023-02-11 05	Huntington	West Virginia	WV	Cabell County	-82.41917368177556	38.41415102368572	6	2023-02-11 00:00:00	39	234
Honolulu HI	2023-02-11 05	Honolulu	Hawaii	HI	City and County of Honolulu	-157.85787999999997	21.30493000000008	1	2023-02-11 00:00:00	39	39
Wichita Falls TX & Lawton OK	2023-02-11 05	Lawton	Oklahoma	OK	Comanche County	-98.43374861680476	34.73082523544293	6	2023-02-11 00:00:00	39	234
Clarksburg-Weston WV	2023-02-11 05	Clarksburg	West Virginia	WV	Harrison County	-80.34016999999993	39.27944000000008	100	2023-02-11 00:00:00	39	3900
Philadelphia PA	2023-02-11 05	Philadelphia	Pennsylvania	PA	Philadelphia County	-75.16217999999996	39.95222000000008	1	2023-02-11 00:00:00	39	39
Salt Lake City UT	2023-02-11 05	Salt Lake City	Utah	UT	Salt Lake County	-111.88822	40.76031000000006	1	2023-02-11 00:00:00	39	39
Denver CO	2023-02-11 05	Denver	Colorado	CO	City and County of Denver	-104.99201999999995	39.74001000000004	2	2023-02-11 00:00:00	39	78
New Orleans LA	2023-02-11 05	New Orleans	Louisiana	LA	Orleans Parish	-90.07774999999998	29.953700000000023	2	2023-02-11 00:00:00	39	78
Memphis TN	2023-02-11 05	Memphis	Tennessee	TN	Shelby County	-90.04924999999997	35.14976000000007	3	2023-02-11 00:00:00	39	117
Knoxville TN	2023-02-11 05	Knoxville	Tennessee	TN	Knox County	-83.92102999999997	35.960680000000025	4	2023-02-11 00:00:00	39	156
Oklahoma City OK	2023-02-11 05	Oklahoma City	Oklahoma	OK	Oklahoma County	-97.52106999999997	35.472030000000075	3	2023-02-11 00:00:00	39	117
Minneapolis-St. Paul MN	2023-02-11 05	Saint Paul	Minnesota	MN	Hennepin County	-93.19663999999992	44.87207000000007	1	2023-02-11 00:00:00	39	39
Austin TX	2023-02-11 05	Austin	Texas	TX	Travis County	-97.74298999999996	30.26759000000004	1	2023-02-11 00:00:00	39	39
Miami-Ft. Lauderdale FL	2023-02-11 05	Hialeah	Florida	FL	Miami-Dade County	-80.32568199999997	25.90754900000008	1	2023-02-11 00:00:00	39	39
Louisville KY	2023-02-11 06	Louisville	Kentucky	KY	Jefferson County	-85.76665999999993	38.254890000000046	3	2023-02-11 01:00:00	0	0
Chattanooga TN	2023-02-11 06	Chattanooga	Tennessee	TN	Hamilton County	-85.30946999999996	35.04672000000005	5	2023-02-11 01:00:00	0	0
Lexington KY	2023-02-11 06	Lexington	Kentucky	KY	Fayette County	-84.50032	38.04859000000005	5	2023-02-11 01:00:00	0	0
Flint-Saginaw-Bay City MI	2023-02-11 06	Bay City	Michigan	MI	Bay County	-83.88930356131523	43.59577191183817	5	2023-02-11 01:00:00	0	0
Charleston-Huntington WV	2023-02-11 06	Huntington	West Virginia	WV	Cabell County	-82.41917368177556	38.41415102368572	6	2023-02-11 01:00:00	0	0
Monterey-Salinas CA	2023-02-11 06	Salinas	California	CA	Monterey	-121.65482999999992	36.67087000000004	3	2023-02-11 01:00:00	0	0
Colorado Springs-Pueblo CO	2023-02-11 06	Pueblo	Colorado	CO	Pueblo County	-104.62503708798616	38.25672401970372	4	2023-02-11 01:00:00	0	0
Detroit MI	2023-02-11 06	Detroit	Michigan	MI	Wayne County	-83.04799999999993	42.33168000000006	1	2023-02-11 01:00:00	0	0
Green Bay-Appleton WI	2023-02-11 06	Appleton	Wisconsin	WI	Outagamie County	-88.38496613956664	44.26672407622406	4	2023-02-11 01:00:00	0	0
Anchorage AK	2023-02-11 06	Anchorage	Alaska	AK	Municipality of Anchorage	-149.85814999999997	61.21753000000008	3	2023-02-11 01:00:00	0	0
Birmingham AL	2023-02-11 06	Birmingham	Alabama	AL	Jefferson County	-86.81178999999997	33.52072000000004	2	2023-02-11 01:00:00	0	0
Grand Rapids-Kalamazoo-Battle Creek MI	2023-02-11 06	Battle Creek	Michigan	MI	Calhoun County	-85.18682211214454	42.32892060475615	3	2023-02-11 01:00:00	0	0
El Paso TX	2023-02-11 06	El Paso	Texas	TX	El Paso County	-106.48748999999998	31.759160000000065	7	2023-02-11 01:00:00	0	0
Waco-Temple-Bryan TX	2023-02-11 06	Bryan	Texas	TX	Brazos County	-96.36367641045288	30.688316939527848	4	2023-02-11 01:00:00	0	0
Wilkes Barre-Scranton PA	2023-02-11 06	Pittston	Pennsylvania	PA	Luzerne County	-75.72943999999995	41.33717000000007	2	2023-02-11 01:00:00	0	0
