Id	CreateTime	Title	Comment	Play	Share	Dig	Duration	AuthorId	AuthorFollower	AuthorHeart	AuthorVideoCount	Day	Keyword
7198981807390395691	2023-02-11 19:26:17	#greenscreenvideo #ptsdwarrior #ohio #eastpalestinetraincrash #eastpalestineohio #eastpalestine #train #derailed #worldnews2023 #knowledgeispower #roadto10k #beinformednotinfluenced #educational #eyesopen #whatsreallygoingon #interesting #knowthyself #knowthyenemy #powerfulwomen #fyp #fyp #like #follow #share #duet #stitch #infastructureattack 	87	118400	419	1826	167	7173535672754324526	12000	81700	93	20230211	OhioTrainCrash
7199031903649926443	2023-02-11 22:40:46	#stitch with @underthedesknews  I feel like I’m the only person not just repeating someone else’s reporting on this.  #eastpalestine #eastpalestineohio #trainderailed #trainderailment #norfolksouthern #railway #chemicalspill #explosion #pittsburgh #pennsylvania #westernpa #beavercountypa #lawrencecountypa #akron #cleveland #uscsb #environmentaldisaster #epa #enviromentalprotection. 	5564	4000000	11000	660500	59	6742947452208514054	283700	4900000	323	20230211	OhioTrainCrash
7199102627827830058	2023-02-12 03:15:12	Media & government silent about  #eastpalestine #ohio #train #explosion #toxic #coverup	6151	1800000	12000	85700	40	6955981908501595142	6656	106800	37	20230212	OhioTrainCrash
7199278333169814789	2023-02-12 14:36:52	Ohio está pasando por uno de sus peores accidentes quimicos, donde vapores tóxicos y ENORMES nubes de humo por un choque de trenes que provino de un descarrilamiento.	93	142500	807	2866	23	6903828657913185281	31400	1900000	174	20230212	OhioTrainCrash
7199307062851947818	2023-02-12 16:28:32	Nooott okay. #ohio #ohiotraincrash #trainderailed #vinylchloride #vinylchlorine #ohiocheck #ohiotrainwreck #ohiotrain #crashtrain #traindisaster #traincrashinohio #ohiodisaster #ohiotiktokers #pittsburgh #chemical #chemicaldisaster #toxic #toxicchemicals #disaster #wtf #wtfmoments #wtff #conspiracy #conspiracytiktok #conspirancytheory #conspiracyplot #conspiracytheorieshub #conspiracytheorytiktok #wtfisthis #wtfisgoingon #wtfisthat #ohiostatebuckeyes #eastpalestinetraincrash #eastpalestineohio #eastpalestinefire #chemicalreaction #environment 	0	540500	2986	33600	68	6971922589125460998	28600	228600	208	20230212	OhioTrainCrash
7199345584313109806	2023-02-12 18:57:54	Train derailment in East Palestine, Ohio. #train #news #fyp #eastpalestine #ohio #derailed 	3868	2100000	19700	102600	52	7046925335314334766	5572	138700	40	20230212	OhioTrainCrash
7199347043691892014	2023-02-12 19:03:38	#greenscreen Stay tuned for more Ohio train crash facts. I’m trying my best to keep informing everyone. As these train disasters will become more common across America if the train companies refuse to do anything about safety. What’s most disappointing is the stance of Republican Ohio Governor Mike DeWine and Democrat President Joe Biden. It doesn’t feel like either of the two big political parties is taking this serious. #traincrash #ohio #pennsylvania #eastpalestine #chemicalspill #fyp #news #	2338	524700	2740	47000	124	6962229787688223750	36300	996900	430	20230212	OhioTrainCrash
7199401901727878446	2023-02-12 22:36:31	FILMED 2 YEARS AGO IN OHIO NOW THAT EXACT SCENARIO IS HAPPENING IN OHIO #ohio #train #toxic #trainderailment #whitenoise #palestineohio #ohioderailment #coincidence 	29	14800	71	270	77	6849480979674694662	14100	354400	359	20230212	OhioTrainCrash
7199431226481020202	2023-02-13 00:30:18	THEY DONT CARE ABOUT US. The abuse needs to end. #corecore #fyp #ohio #derailedtrain 	54	53200	223	1594	179	6818028928390398981	115	1874	19	20230213	OhioTrainCrash
7199479665155755307	2023-02-13 03:38:16	solidarity to the rail workers who tried to prevent this #eastpalestine #eastpalestineohio #eastpalestinetraincrash #eastpalestinefire #norfolksouthern #pollution #environmentaldisaster #ohio 	309	76600	460	12800	59	6879155146603070469	423	13400	5	20230213	OhioTrainCrash
7199631446816967982	2023-02-13 13:27:42	#vinylchloride #eastpalenstine #ohio #trainderail #traincrash #wreck #chemicalspill 	519	491900	1433	22300	51	6960546630606390277	2026	49000	119	20230213	OhioTrainCrash
7199676049003678982	2023-02-13 16:20:12	#ohio #conspiracy #governmentconspiracy #chemicals #fypシ #news 	3817	494700	6250	34700	122	7194780407689872389	1935	35600	10	20230213	OhioTrainCrash
7199714123054075179	2023-02-13 18:48:14	Posting again bc tt flagged last one. Stitch with @annemkelley - I spoke with Erin Brockovich about the #ohiotraincrash and whether she trusts what the EPA is saying right now. Here’s what she had to say. #train #traincrash #news #fyp #breakingnews #erinbrockovich #healthnews #eastpalestine #norfolksouthern #chemicalspill #hazmat 	2617	852900	6335	80800	144	7091964158736041006	6471	89200	11	20230213	OhioTrainCrash
7199719515876445486	2023-02-13 19:09:17	Update on the East Palestine Ohio train derailment. #ohio #ohiotrain #ohiotraincrash #breakingnews #viralvideo 	44	13200	77	296	108	6956699894133801989	6468	46900	63	20230213	OhioTrainCrash
